miRBase cluster	Algorithm cluster
mir-3015	mir-3015
mir-722	mir-722
mir-2041	mir-2041
mir-2941	mir-2941-2
mir-554	mir-554
mir-1891	mir-1891
mir-580	mir-580
mir-9440	mir-9440-4
mir-6724	mir-6724-4
mir-1204	mir-1204
mir-936	mir-936
mir-75	mir-75
mir-251	mir-251
MIR950	MIR950
mir-373	mir-373
mir-587	mir-587
mir-968	mir-968
mir-7131	mir-7131
MIR774	MIR774
mir-642	mir-642
mir-1287	mir-1287
mir-725	mir-725
mir-1262	mir-1262
mir-618	mir-618
mir-553	mir-553
mir-1842	mir-1842
mir-7583	mir-7583
mir-2001	mir-2001
mir-233	mir-233
mir-59	mir-59
mir-2011	mir-2011
mir-2253	mir-2253
mir-640	mir-640
mir-1323	mir-1323
MIR481	MIR481
mir-557	mir-557
MIR1432	MIR1432
mir-765	mir-765
mir-2008	mir-2008
mir-511	mir-511
mir-8250	mir-8250
mir-924	mir-924
mir-595	mir-595
mir-1006	mir-1006
mir-987	mir-987
mir-2517	mir-2517
mir-8864	mir-9070
mir-3179	mir-3179-4
mir-4872	mir-4872
mir-558	mir-558
mir-982	mir-982
mir-750	mir-750_2
mir-4900	mir-4900b-2
MIR3631	MIR3631
MIR4343	MIR4343
mir-600	mir-600
mir-2944	mir-2_3
MIR9674	MIR9674
mir-933	mir-933
mir-1252	mir-1252
mir-3267	mir-3267
mir-569	mir-569
mir-1002	mir-1002
MIR860	MIR860
mir-3670	mir-3670-4
mir-3943	mir-3943
mir-2518	mir-2518-4
mir-1829	mir-1829
MIR845_1	MIR845_1
mir-43_2	mir-43_2
mir-5692	mir-5692
mir-9338	mir-9338-4
mir-80	mir-80
mir-244	mir-244
mir-4524	mir-4524
mir-583	mir-583
mir-2970	mir-2970
MIR4371	MIR4387
MIR5208	MIR5208
MIR5635	MIR5635
mir-2543	mir-2543b-2
MIR6140	MIR6140
MIR537	MIR537
mir-5882	mir-5882b-2
mir-2767	mir-2767
mir-2069	mir-2069
mir-593	mir-593
mir-581	mir-581
MIR7696	MIR7696
mir-427	mir-427
mir-3200	mir-3200
mir-604	mir-604
mir-1266	mir-1266
mir-9806	mir-9806-4
mir-622	mir-622
mir-969	mir-969
mir-62	mir-62
mir-1286	mir-1286
mir-567	mir-567
mir-718	mir-718
mir-938	mir-938
MIR8762	MIR8762
mir-4520	mir-4520
mir-85	mir-85
mir-934	mir-934
MIR7993	MIR7993
MIR4380	MIR4380
mir-1281	mir-1281
mir-6859	mir-6859-4
mir-7594	mir-7594
mir-3660	mir-3660
MIR5298	MIR5298
mir-5918	mir-5918
mir-937	mir-937
mir-619	mir-619
mir-601	mir-601
mir-633	mir-633
mir-1256	mir-1256
mir-3613	mir-3613
mir-922	mir-922
mir-612	mir-612
mir-995	mir-995
MIR5295	MIR5295
mir-1467	mir-1467-2
mir-1994	mir-1994
MIR2653	MIR2653
MIR1508	MIR1508
mir-231	mir-231
MIR161	MIR161
mir-1837	mir-1837-4
mir-586	mir-586
mir-723	mir-723
mir-4868	mir-4868_1
mir-2450	mir-2450
mir-920	mir-920
mir-597	mir-597
MIR7984	MIR7984
mir-658	mir-658
mir-1010	mir-1010
mir-576	mir-576
mir-7957	mir-7957
mir-2804	mir-2804-4
mir-7552	mir-7552
MIR1219	MIR1219
mir-939	mir-939
mir-728	mir-728
mir-626	mir-626
mir-588	mir-588
mir-596	mir-596
mir-8793	mir-8793-3
mir-242	mir-242_2
MIR2606	MIR2606_2
mir-763	mir-763
mir-617	mir-617
mir-680	mir-680-3
mir-1202	mir-1202
mir-634	mir-634
MIR5294	MIR5294
mir-2849	mir-2849-3
mir-1263	mir-1263
mir-630	mir-630
mir-5885	mir-5885
mir-249	mir-249
mir-2009	mir-2009
mir-1662	mir-1662
mir-3118	mir-3118-4
mir-76	mir-76
mir-7599	mir-7599-3
MIR536	MIR536
mir-9243	mir-9243
mir-BART3	mir-rL1-5
mir-238	mir-238
mir-1992	mir-1992
mir-986	mir-986
MIR1512	MIR1512
mir-4436	mir-4436
MIR5020	MIR5020
mir-36_2	mir-36_1
mir-627	mir-627
mir-2040	mir-2040
mir-1183	mir-1183
MIR1094	MIR1094
mir-6131	mir-6131
